Accession ID,Subpopulation,fruitWeight (g),fruitLength (mm),fruitWidth (mm),fruitThickness (mm),stoneWeight (g),stoneLength (mm),stoneWidth (mm),stoneThickness (mm),seedWeight (g),seedLength (mm),seedWidth (mm),seedThickness (mm),brix,Pulp
whitealfonso,SP1,267.07,85.9781249999999,74.8310416666666,70.409375,27.435,64.5364583333333,34.6408333333333,19.551875,16.0370833333333,52.0327083333333,26.6891666666666,14.5989583333333,9.734645525788228,18.0708333333333
vallenato,SP2 ,302.938333333333,93.3008333333333,82.2245833333333,72.925,22.5291666666666,64.9033333333333,36.855,15.9566666666666,15.9836363636363,52.1527272727272,30.6186363636363,14.3772727272727,13.446495283891275,13.3791666666666
dot,SP1 ,366.441818181818,99.4822727272727,82.2870454545454,74.1270454545454,26.3790909090909,72.4913636363636,36.8121428571428,18.6515909090909,14.7804545454545,52.3988636363636,28.7438636363636,15.3075,13.89137402212496,19.2113636363636
fernandez,SP1 ,240.023333333333,91.3083333333333,70.7437499999999,66.55125,28.8291666666666,67.98,33.0533333333333,20.2324999999999,16.2308333333333,52.4820833333333,25.3858333333333,15.6966666666666,8.325711808064757,17.0458333333333
suwontip,SP1,279.531818181818,111.98,61.9341666666666,38.3291666666666,33.625,97.2958333333333,37.5008333333333,18.8075,11.4008333333333,52.5941666666666,27.0616666666666,12.1341666666666,8.31321392362284,17.5333333333333
malda,SP1 ,219.040833333333,84.9312499999999,66.7904166666666,64.00875,33.21625,66.7766666666666,33.6775,23.2320833333333,19.5895833333333,52.6591666666666,27.6879166666666,19.3583333333333,6.594387787102186,15.7041666666666
magshimim,SP2 ,415.853333333333,111.204166666666,81.3745833333333,78.0829166666666,25.1945833333333,93.255,35.7658333333333,17.3008333333333,15.66625,53.1058333333333,28.5933333333333,13.8620833333333,16.505664246613865,15.0541666666666
joellen,SP1 ,307.884166666666,103.528333333333,75.3083333333333,68.2220833333333,26.8245833333333,80.2258333333333,38.6504166666666,17.9091666666666,16.22375,53.2604166666666,27.2595833333333,11.9254166666666,11.477686823343005,11.8312499999999
sdlgofwa3-02-05,SP2 ,190.113055555555,80.4152777777777,62.3241666666666,60.1588888888888,27.1105714285714,65.5408571428571,34.4577777777777,20.4780555555555,18.58,53.2677142857142,29.6714285714285,18.0135294117647,7.012506396497341,17.1111111111111
st.maui,SP1 ,391.322222222222,92.5111111111111,83.1777777777777,81.2777777777777,26.1644444444444,64.2666666666666,40.3444444444444,20.6666666666666,16.9888888888888,53.6555555555555,32.2666666666666,18.3444444444444,14.956259554951606,17.7222222222222
